"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"247",487,"robotology/codyco-modules","https://www.github.com/robotology/codyco-modules",1954,19796,10934289,1,1,"C++","ORG",0.236111,0,-1,9,3,46,2992,1,172,68,113,80,15,70,10934289,0.97008547008547,0,1,0.167553414522787,0,1,0,26788,89339,"dormant",16,0.00216514857398835,0,0
"259",509,"smartdevicelink/sdl_core","https://www.github.com/smartdevicelink/sdl_core",1283,20861,12590830,1,1,"C++","ORG",0.660714,1,-1,8,2,69,2849,1,818,407,584,1797,200,708,12590830,0.947388059701493,0,1,0,0,1,0,0,0,"dormant",158,0,0,0
"271",530,"telefonicaid/fiware-cygnus","https://www.github.com/telefonicaid/fiware-cygnus",1638,21722,17897014,1,1,"Java","ORG",0.439394,0,-1,19,11,42,4016,4,662,217,324,672,57,908,17897014,0.972789115646258,0,1,0.249214881606073,0,1,0,32709,38968,"dormant",37,0.490232046225809,0,1
"273",534,"timolson/cointrader","https://www.github.com/timolson/cointrader",1589,21986,9964131,1,1,"Java","USR",0.0714286,1,0,131,24,10,485,1,132,107,84,23,101,102,9964131,0.972868217054264,0,0,0.180453187250996,0,1,0,30884,32913,"dormant",233,0.00715580883305271,0,0
"282",547,"vicrucann/dura-europos-insitu","https://www.github.com/vicrucann/dura-europos-insitu",637,22633,26514722,1,1,"C++","USR",0.25,1,-1,57,15,3,1058,5,72,27,34,0,0,49,26514722,0.969465648854962,0,1,0.136594928261595,0,1,0,20125,20701,"dormant",11,0,0,0
"289",565,"xamarin/monodroid-samples","https://www.github.com/xamarin/monodroid-samples",2915,23213,4455,1,1,"C#","ORG",0.345455,0,1,11,9,80,1577,1,106,106,76,175,3208,125,4455,0.814565483476132,0,0,0.157102253949369,0,1,0,109431,191283,"dormant",1797,0.00403907485081924,50,0
"290",566,"xen2/SharpLang","https://www.github.com/xen2/SharpLang",600,23237,9861508,1,1,"C#","USR",0.375,-1,-1,4,1,6,587,0,54,31,29,10,27,13,9861508,0.923745819397993,0,0,0.200212058108131,0,1,0,311526,607974,"dormant",246,0.000815341255625534,0,0
"298",605,"Bareflank/hypervisor","https://www.github.com/Bareflank/hypervisor",1007,NA,27267131,1,0,"C++","ORG",0.365854,1,-1,52,30,26,1173,0,189,118,140,503,115,715,27267131,0.896153846153846,0,1,0.149582328507111,0,1,0,85694,92744,"dormant",544,0,0,0
"302",843,"datacite/mds","https://www.github.com/datacite/mds",2612,NA,296782,1,0,"Java","ORG",0.272727,1,-1,281,102,7,1191,0,312,307,185,7,13,209,296782,0.971098265895954,0,0,0.0771701777976991,0,1,0,9510,12353,"dormant",23,0.38286014721346,0,0
"303",874,"facebook/screenshot-tests-for-android","https://www.github.com/facebook/screenshot-tests-for-android",1029,NA,27114383,1,0,"Java","ORG",0.621622,1,-1,55,6,30,413,0,110,95,82,90,128,47,27114383,0.936170212765957,0,0,0.199699021820918,0,1,0,2942,5318,"dormant",1207,0.387151597552685,0,0
"304",953,"laurent-clouet/sheepit-client","https://www.github.com/laurent-clouet/sheepit-client",1335,NA,13527135,1,0,"Java","USR",0.117647,1,-1,5,4,27,317,0,102,93,65,62,72,30,13527135,1,0,1,0.188844621513944,0,1,0,6768,7126,"dormant",162,0,0,0
"307",982,"mapstruct/mapstruct","https://www.github.com/mapstruct/mapstruct",2239,NA,3394187,1,0,"Java","ORG",0.2,1,-1,32,5,54,1140,0,1034,577,572,587,245,37,3394187,0.972846839202376,0,1,0.234797218024647,0,1,0,78075,81527,"dormant",1426,0.265923791226385,0,0
"308",995,"migueldeicaza/MonoTouch.Dialog","https://www.github.com/migueldeicaza/MonoTouch.Dialog",3011,NA,52771,1,0,"C#","USR",0.245283,1,-1,11,4,50,508,0,141,141,101,109,229,73,52771,1,0,0,0.0542488619119879,0,1,0,6138,17451,"dormant",439,0,0,0
"309",1008,"mulesoft-labs/raml-for-jax-rs","https://www.github.com/mulesoft-labs/raml-for-jax-rs",1530,NA,58608428,1,0,"Java","ORG",0.333333,1,-1,53,24,51,1204,0,294,193,161,26,68,118,58608428,0.889855072463768,0,1,0.278794985117705,0,1,0,12180,15992,"dormant",285,0.124548440065681,0,0
"312",1225,"zeromq/jzmq","https://www.github.com/zeromq/jzmq",2565,NA,58596,1,0,"Java","ORG",0.179245,1,-1,31,26,95,638,0,259,223,169,209,327,244,58596,1,0,1,0.245977692231764,0,1,0,5296,7639,"dormant",531,0.377643504531722,0,0
"315",1232,"Freeyourgadget/Gadgetbridge","https://www.github.com/Freeyourgadget/Gadgetbridge",1306,2329,14773650,1,1,"Java","ORG",0.113208,0,-1,139,49,145,3612,1,950,315,581,296,496,602,14773650,0.980392156862745,0,1,0.12810149320759,0,1,0,51019,69894,"dormant",2572,0.0294400125443462,0,0
"316",1237,"GluuFederation/oxAuth","https://www.github.com/GluuFederation/oxAuth",1590,2511,8885398,1,1,"Java","ORG",0.225,0,-1,270,63,30,3100,3,634,274,351,244,76,518,8885398,0.969362745098039,0,0,0.139208970829866,0,1,0,101279,161357,"dormant",149,0.50154523642611,0,0
"318",1239,"GeertBellekens/Enterprise-Architect-Toolpack","https://www.github.com/GeertBellekens/Enterprise-Architect-Toolpack",2695,2434,34019,1,1,"C#","USR",0.111111,0,-1,0,0,8,819,1,93,27,42,3,16,2,34019,0.916666666666667,0,0,0.0589408153312104,0,1,0,28482,131210,"dormant",46,0,0,1
